web-scraper-order,web-scraper-start-url,description,section,section-href,section_description,title
"1694811976-1","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 357C - Treatment of victims [1]","https://lawrato.com/indian-kanoon/crpc/section-357C","All hospitals, public or private, whether run by the Central Government, the State Government, local bodies or any other person, shall immediately, provide the first-aid or medical treatment, free of cost, to the victims of any offence covered under section 326A, 376, 376A, 376B, 376C, 376D or section 376E of the Indian Penal Code, and shall immediately inform the police of such incident.","INDIAN KANOON SECTION 357C CrPC - Code of Criminal Procedure - Treatment of victims [1]"
"1694811978-2","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 357B - Compensation to be in addition to fine under Section 326A or Section 376D of Indian Penal Code [1]","https://lawrato.com/indian-kanoon/crpc/section-357B","The compensation payable by the State Government under section 357A shall be in addition to the payment of fine to the victim under section 326A or section 376D of the Indian Penal Code.","INDIAN KANOON SECTION 357B CrPC - Code of Criminal Procedure - Compensation to be in addition to fine under Section 326A or Section 376D of Indian Penal Code [1]"
"1694811981-3","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 357A - Victim compensation scheme","https://lawrato.com/indian-kanoon/crpc/section-357A","","INDIAN KANOON SECTION 357A CrPC - Code of Criminal Procedure - Victim compensation scheme"
"1694811985-4","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 198B - Cognizance of offence [1]","https://lawrato.com/indian-kanoon/crpc/section-198B","No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital relationship, except upon prima facie satisfaction of the facts which constitute the offence upon a complaint having been filed or made by the wife against the husband.","INDIAN KANOON SECTION 198B CrPC - Code of Criminal Procedure - Cognizance of offence [1]"
"1694811986-5","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 484 - Repeal and savings","https://lawrato.com/indian-kanoon/crpc/section-484","","INDIAN KANOON SECTION 484 CrPC - Code of Criminal Procedure - Repeal and savings"
"1694811989-6","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 483 - Duty of High Court to exercise continuous superintendence over Courts of Judicial Magistrates","https://lawrato.com/indian-kanoon/crpc/section-483","Every High Court shall so exercise its superintendence over the Courts of Judicial Magistrates subordinate to it as to ensure that there is an expeditious and proper disposal of cases by such Magistrates.","INDIAN KANOON SECTION 483 CrPC - Code of Criminal Procedure - Duty of High Court to exercise continuous superintendence over Courts of Judicial Magistrates"
"1694811992-7","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 482 - Saving of inherent power of High Court","https://lawrato.com/indian-kanoon/crpc/section-482","Nothing in this Code shall be deemed to limit or affect the inherent powers of the High Court to make such orders as may be necessary to give effect to any order this Code, or to prevent abuse of the process of any Court or otherwise to secure the ends of justice.","INDIAN KANOON SECTION 482 CrPC - Code of Criminal Procedure - Saving of inherent power of High Court"
"1694811996-8","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 481 - Public servant concerned in sale not to purchase or bid for property","https://lawrato.com/indian-kanoon/crpc/section-481","A public servant having any duty to perform in connection with the sale of any property under this Code shall not purchase or bid for the properly.","INDIAN KANOON SECTION 481 CrPC - Code of Criminal Procedure - Public servant concerned in sale not to purchase or bid for property"
"1694811997-9","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 480 - Practising pleader not to sit as Magistrate in certain Courts","https://lawrato.com/indian-kanoon/crpc/section-480","No pleader who practises in the Court of any Magistrate shall sit as a Magistrate in that Court or in any Court within the local jurisdiction of that Court.","INDIAN KANOON SECTION 480 CrPC - Code of Criminal Procedure - Practising pleader not to sit as Magistrate in certain Courts"
"1694812000-10","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 479 - Cases in which Judge or Magistrate is personally interested","https://lawrato.com/indian-kanoon/crpc/section-479","No Judge or Magistrate shall, except with the permission of the Court to which an appeal lies from his Court, try or commit for trial any case to or in which he is a party, or personally interested, and no Judge or Magistrate shall hear an appeal from any judgement or order passed or made by himself.","INDIAN KANOON SECTION 479 CrPC - Code of Criminal Procedure - Cases in which Judge or Magistrate is personally interested"
