web-scraper-order,web-scraper-start-url,act,act-href,article,article-href,article_title,article_description
"1694596816-1","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 140 - Exemptions of certain instruments from restriction imposed on transfer of immovable property","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-140","Section 140 of Transfer of Property Act - Exemptions of certain instruments from restriction imposed on transfer of immovable property","Nothing contained in Irshad dated 29th Maghar, 1943 or any law rule, order, notification, regulation, hidayat, ailan, circular, robkar, yadasht, irshad, State Council resolution or any other instrument having the force of law prohibiting or restricting the transfer of immovable property in favour of a person who is not a permanent resident of the State shall apply to-"
"1694596819-2","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 139 - Saving of certain Regulations, Hidayat, Resolution etc","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-139","Section 139 of Transfer of Property Act - Saving of certain Regulations, Hidayat, Resolution etc","(1) Nothing in this Act shall affect any Regulation, Hidayat, Resolution, Ailan, Rule or valid custom now in force restricting and regulating transfer of immovable property in any part of the Jammu and Kashmir State or any right therein, or confer any right, or rights of transfer expressly taken away or restricted by any such enactment.


(2) In particular and without prejudice to the generality of the provisions of sub-section (1) the restrictions and rules contained in the following shall be observed :-"
"1694596822-3","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 138 - Transfer of immovable property after due registration","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-138","Section 138 of Transfer of Property Act - Transfer of immovable property after due registration","(1) No transfer of immovable property, except in a case governed by any special law to the country, shall be valid unless and until it is in writing registered and [the registration thereof has been completed in accordance with sub-section (3) of section 61 of the Registration Act, 1977.]


(2) No Court shall entertain a suit for pre-emption in respect of transfer of any such immovable property unless the transfer complies with the provision of sub-section (1).


(3) No person shall take possession of, or commence to build or build on, any land in the Province of Kashmir which has been transferred or has been contracted to be transferred to him unless and until such transfer becomes valid under the provision of sub-section (1).


(4) No person who has obtained a transfer of immovable property referred to in sub-section (1) shall apply for and obtain from any Revenue or Settlement Officer or Court any alteration in any existing entry in any Settlement Record or paper, unless such person produces before such officer or Court a duly executed registered instrument [the registration whereof has been completed in the manner specified in subsection (1)].


And no such officer or Court shall alter or cause to be altered any such entry except upon the production of an instrument registered [in the aforesaid manner] :


Provided that nothing in this section applies to a lease of agricultural land for one year or to a lease of any other land for a period not exceeding seven years :


Provided also that nothing in sub-sections (3) and (4) shall be deemed to apply to transfers by will or by any rule of intestate succession or by the operation of the law of survivorship."
"1694596825-4","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 137 - Saving of negotiable instruments, etc","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-137","Section 137 of Transfer of Property Act - Saving of negotiable instruments, etc","Nothing in the foregoing sections of this Chapter applies to stocks, shares or debentures or to instruments which are for the time being, by law or custom, negotiable or to any mercantile documents of title to goods.


Explanation. - The expression ""mercantile documents of title to goods"" includes a bill of lading, dock-warrant , warehousekeeper's certificate, railway recepit, warrant or order for the delivery of goods, any and other documents used in the ordinary course of business as proof of the possession or control of goods, or authorising or purporting to authorise, either by endorsement or by delivery, the possessor of the documents to transfer or receive goods thereby represented."
"1694596828-5","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 136 - Incapacity of officers connected with Courts of Justice","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-136","Section 136 of Transfer of Property Act - Incapacity of officers connected with Courts of Justice","No judge, legal practitioner or officer connected with any Court of Justice shall buy or traffic in, or stipulate for, or agree to receive any share of, or interest in, any actionable claim, and no Court of Justice shall enforce, at his instance, or at the instance of any person claiming by or through him, any actionable claims so dealt with by him as aforesaid."
"1694596831-6","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 135 - Assignment of rights under marine or fire policy of insurance","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-135","Section 135 of Transfer of Property Act - Assignment of rights under marine or fire policy of insurance","Every assignee, by endorsement or other writing, of a policy of marine insurance or of a policy of insurance against fire, in whom the property in the subject insured shall be absolutely vested at the date of the assignment, shall have transferred and vested in him all rights of suit as if the contract contained in the policy had been made with himself."
"1694596834-7","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 134 - Mortgaged debt","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-134","Section 134 of Transfer of Property Act - Mortgaged debt","Where a debt is transferred for the purpose of securing an existing or future debt, the debt so transferred, if received by the transferor or recovered by the transferee, is applicable, first, in payment of the costs of such recovery ; secondly, in or towards satisfaction of the amount for the time being secured by that transfer; and the residue, if any belongs to the transferor or other person entitled to receive the same."
"1694596837-8","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 133 - Warranty of solvency of debtor","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-133","Section 133 of Transfer of Property Act - Warranty of solvency of debtor","Where the transferor of a debt warrants the solvency of the debtor, the warranty, in the absence of a contract to the contrary, applies only to his solvency at the time of the transfer, and is limited, where the transfer is made for consideration, to the amount or value of such consideration."
"1694596840-9","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 132 - Liability of transferee of actionable claim","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-132","Section 132 of Transfer of Property Act - Liability of transferee of actionable claim","The transferee of an actionable claim shall take it subject to all the liabilities and equities to which the transferor was subject in respect thereof at the date of the transfer."
"1694596843-10","https://lawrato.com/indian-kanoon","Transfer of Property Bare Act","https://lawrato.com/indian-kanoon/transfer-of-property-act","Transfer of Property Act Section 131 - Notice to be in writing, signed","https://lawrato.com/indian-kanoon/transfer-of-property-act/section-131","Section 131 of Transfer of Property Act - Notice to be in writing, signed","Every notice of transfer of an actionable claim shall be in writing, signed by the transferor or his agent duly authorised in this behalf, or, in case the transferor refuses to sign, by the transferee or his agent, and shall state the name and address of the transferee."
